year,estimator,L,cap,delta_bhm,delta_popgrowth
2078,IFE,1,no cap,-0.30055358129877396,-0.41658796618568716
2079,IFE,1,no cap,-0.3096385117637187,-0.42802197769108674
2080,IFE,1,no cap,-0.31876738488395207,-0.43945018277911785
2081,IFE,1,no cap,-0.32574831300325935,-0.450856478314713
2082,IFE,1,no cap,-0.3348573700440859,-0.4622419582367403
2083,IFE,1,no cap,-0.3439928440201485,-0.4735991468768569
2084,IFE,1,no cap,-0.35314958995720047,-0.4849206964966867
2085,IFE,1,no cap,-0.3623225124289463,-0.49619939653572487
2086,IFE,1,no cap,-0.3690765143793868,-0.507413052277113
2087,IFE,1,no cap,-0.37818296938138085,-0.5185704359417025
2088,IFE,1,no cap,-0.38729002343506236,-0.5296648071606734
2089,IFE,1,no cap,-0.3963929287638258,-0.540689594972254
2090,IFE,1,no cap,-0.4054870154492023,-0.5516384052181528
2091,IFE,1,no cap,-0.41195411538879956,-0.5624849632938931
2092,IFE,1,no cap,-0.4209484432336822,-0.5732441228700289
2093,IFE,1,no cap,-0.4299207237131184,-0.5839100640654997
2094,IFE,1,no cap,-0.43886672549509853,-0.5944771675544182
2095,IFE,1,no cap,-0.4477823144902593,-0.6049400198139496
2096,IFE,1,no cap,-0.45385138177983375,-0.6152694611665137
2097,IFE,1,no cap,-0.4626199605140119,-0.6254855282485093
2098,IFE,1,no cap,-0.4713470632213478,-0.6355834494033802
2099,IFE,1,no cap,-0.4800290727233387,-0.6455586732811263
2100,IFE,1,no cap,-0.4886624798402913,-0.6554068718046488
2021,IFE,1,30 C cap,-1.469976883595736e-4,-3.351956203113682e-4
2022,IFE,1,30 C cap,-4.4701310053707477e-4,-9.312672363589458e-4
2023,IFE,1,30 C cap,-9.044512020423001e-4,-0.0017896879325574044
2024,IFE,1,30 C cap,-0.0015230408009442309,-0.0029084157328265192
2025,IFE,1,30 C cap,-0.00230621325800906,-0.004284262615352086
2026,IFE,1,30 C cap,-0.0032968967812390115,-0.005940685739132645
2027,IFE,1,30 C cap,-0.004435175753510601,-0.007860581807903388
2028,IFE,1,30 C cap,-0.005752351422738,-0.010044293605533494
2029,IFE,1,30 C cap,-0.007252181696151716,-0.012491933945721456
