ssp,spec,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,Country resampling,1,IE,2064,0.07043333630958282,-0.21088401397685963,-0.11715496116623791,-0.055416061379305985,0.012419125094278505,0.06051554060513353,0.10988841949516492,0.15287466933317828,0.18520095805963938,0.20893102073115083
SSP585,Interactive,AFE,Country resampling,1,IE,2065,0.0729735139767912,-0.22591566422312623,-0.12275617003098577,-0.0585592312367486,0.011887191037828676,0.06215657211780662,0.11265302394766111,0.157527083303117,0.19373996659639184,0.21704978483546333
SSP585,Interactive,AFE,Country resampling,1,IE,2066,0.07436499320496626,-0.2421804630602905,-0.13136630800157567,-0.06353095802112296,0.011351015083846033,0.06220281848427839,0.11436435664924316,0.16136068467244907,0.2008415245401453,0.22537553795204585
SSP585,Interactive,AFE,Country resampling,1,IE,2067,0.07682186900201482,-0.2650605486232053,-0.13925823525928016,-0.0675090209181675,0.010074852600409273,0.06377074299278868,0.11770195124830404,0.16672661822699816,0.20991619493875813,0.2340701530798616
SSP585,Interactive,AFE,Country resampling,1,IE,2068,0.0792585905808858,-0.2840788507435955,-0.14643607638284975,-0.07207127507100361,0.009685779267683048,0.06464619028675839,0.12139454202125391,0.1737151006746284,0.21707847278363687,0.24168869840762106
SSP585,Interactive,AFE,Country resampling,1,IE,2069,0.08167125308888146,-0.30428967800831497,-0.15333641456551975,-0.07598042276424377,0.009286407018680026,0.06546291710474167,0.12444160020603923,0.1783117808663176,0.22399481926222514,0.25024847482820134
SSP585,Interactive,AFE,Country resampling,1,IE,2070,0.08405601265706164,-0.3258776058884191,-0.16199147790217308,-0.08086415915070662,0.008866938529809965,0.06642897675192894,0.1273987543250036,0.18348583252315348,0.22942734502013012,0.2609280822438329
SSP585,Interactive,AFE,Country resampling,1,IE,2071,0.08517757128523529,-0.35553858238022173,-0.17706246435270362,-0.08636354044639283,0.0070764884513879744,0.06628021841474663,0.1294526208060976,0.1878193689162863,0.23372189854158612,0.2689847011314935
SSP585,Interactive,AFE,Country resampling,1,IE,2072,0.08745301873178624,-0.38048960020548683,-0.18890477661254929,-0.09689725133206488,0.004586513488996302,0.06732406288027148,0.13280217050393547,0.19333510822333055,0.24224238208521803,0.2788818341314823
SSP585,Interactive,AFE,Country resampling,1,IE,2073,0.0896912485393,-0.40538109207444895,-0.2016098498799292,-0.10465383396898788,0.003496404972911149,0.06899439738169821,0.13542841959245847,0.19788580141235296,0.2506881410482331,0.2898959488180862
SSP585,Interactive,AFE,Country resampling,1,IE,2074,0.09188903631102951,-0.4319039224053756,-0.21426012795700494,-0.11030878506632226,0.0017945447163142114,0.07003124922005,0.13768814807410953,0.20351161278643104,0.25696342698365215,0.2992394471401324
SSP585,Interactive,AFE,Country resampling,1,IE,2075,0.09404326407725105,-0.46619846535338477,-0.2274137071807233,-0.11909714823616332,9.302290606136854e-4,0.070871667207061,0.14030583686997014,0.21009976376194095,0.2641887701080041,0.30980992275011926
SSP585,Interactive,AFE,Country resampling,1,IE,2076,0.09489189345147742,-0.5003923090767419,-0.2375946512344114,-0.12635801554672393,-4.8630834041976656e-4,0.0704913536980506,0.14170554434517177,0.216004435711039,0.2722358086239418,0.32177024904629836
SSP585,Interactive,AFE,Country resampling,1,IE,2077,0.09692424958569146,-0.5330872947159832,-0.25025737769168144,-0.13330563343425442,-0.0021401383120357997,0.07112163552115325,0.1436640640373718,0.22273701832124568,0.28118396410506213,0.3356119035964461
SSP585,Interactive,AFE,Country resampling,1,IE,2078,0.09890696487732631,-0.5648465589661088,-0.2661209086410982,-0.14101131214186877,-0.005312423998369509,0.07212299262291183,0.14678164131901392,0.23014721482882744,0.29270341455160853,0.3459498369825011
SSP585,Interactive,AFE,Country resampling,1,IE,2079,0.10083761895084031,-0.6056231274253738,-0.2792907441852764,-0.1535192993551345,-0.007831450548007463,0.07276822713872366,0.15005148534690443,0.23695786513296824,0.29806632929164983,0.355949525701377
SSP585,Interactive,AFE,Country resampling,1,IE,2080,0.10271391855734835,-0.6458952455450222,-0.30295638637695743,-0.16192562458375387,-0.010953573228210528,0.07344175162509159,0.15302272873336883,0.24282716855617462,0.30507811264353907,0.36598140942132756
SSP585,Interactive,AFE,Country resampling,1,IE,2081,0.1033278371284061,-0.7009333149832789,-0.3216051644955128,-0.1726559948580977,-0.01300838835700216,0.072610572199034,0.15448782396672855,0.24703023357850545,0.3144302429487798,0.37494261549208824
SSP585,Interactive,AFE,Country resampling,1,IE,2082,0.10508235349598571,-0.7465282950565626,-0.3459481026192869,-0.18171757756608556,-0.01689280855518918,0.0728991557179568,0.15573895123682638,0.25464397338345757,0.32508228176783144,0.3843636407427572
SSP585,Interactive,AFE,Country resampling,1,IE,2083,0.10677971138646947,-0.7933427235999573,-0.37727360148724254,-0.1947278076340972,-0.0197182866052725,0.07309120514203121,0.15859633408637674,0.2596995243733788,0.3376669280706724,0.39880491802032947
SSP585,Interactive,AFE,Country resampling,1,IE,2084,0.108418310584521,-0.8433052214996949,-0.4126415852611077,-0.20469080434852388,-0.02350801128224997,0.07337542913260292,0.16204774995335308,0.26587582613939303,0.34982198953197113,0.41396327881240363
SSP585,Interactive,AFE,Country resampling,1,IE,2085,0.10999667743881592,-0.8966693515415092,-0.4488189917568379,-0.22341117603591026,-0.027785815093990862,0.07294464226355596,0.1632835229203221,0.2700159407421998,0.3583283089949795,0.42878050721487815
SSP585,Interactive,AFE,Country resampling,1,IE,2086,0.11045155731378264,-0.9665658620361504,-0.47559007076315507,-0.24121353130915898,-0.030870712935208877,0.07196844901111704,0.1644205842605098,0.2723734742932181,0.37062138348841117,0.4426922512170042
SSP585,Interactive,AFE,Country resampling,1,IE,2087,0.11191620034750094,-1.0284688813543368,-0.49621207731876926,-0.2506595129496241,-0.03352058692970669,0.07091078741629098,0.16607293361610725,0.2771353053035696,0.3807095188597104,0.45826621500610076
SSP585,Interactive,AFE,Country resampling,1,IE,2088,0.11332052049061536,-1.0947451390408776,-0.5319939134477264,-0.2619253594337144,-0.03686311642868137,0.07053043750894361,0.16744826739389207,0.28451588556511465,0.392677643010668,0.4672171875045787
SSP585,Interactive,AFE,Country resampling,1,IE,2089,0.11466365074603713,-1.1657660406543937,-0.5785210417008292,-0.28460964648111875,-0.04358470639555581,0.07057319890987118,0.16839733606995616,0.29171380277879266,0.4048757701125919,0.4753418112604672
