variable,coef,estimate,std.error,p.value,spec,L,estimator
pre,b3,-0.0012833575572716196,0.006927177185489391,0.8530218594625796,Direct,4,AFE
pre,b4,-0.0014336999737897369,0.007009149679638659,0.8379261306628518,Direct,4,AFE
pre2,sum,-0.0021142844127518775,0.003503903625721725,0.5462371243102373,Direct,4,AFE
pre2,b0,-0.004284551657754886,0.001475336918775608,0.0036828999834442096,Direct,4,AFE
pre2,b1,-8.18147003257704e-5,0.0015415289319749147,0.957673157197038,Direct,4,AFE
pre2,b2,0.0010076239264612892,0.0014802501349839587,0.4960537859823117,Direct,4,AFE
pre2,b3,8.124485627913223e-4,0.0013823345448160558,0.5567091256824006,Direct,4,AFE
pre2,b4,4.3200945607616714e-4,0.001342232580088731,0.7475596165015059,Direct,4,AFE
tmp,sum,0.012123806363820632,0.00508277337861638,0.017066412411798126,Direct,4,IFE
tmp,b0,0.012751624728858293,0.0023344614971827324,4.6989637005698195e-8,Direct,4,IFE
tmp,b1,-3.450967195132124e-4,0.002334399731876773,0.8824761190675335,Direct,4,IFE
tmp,b2,-5.745879489964375e-4,0.002327058117316748,0.8049732111878374,Direct,4,IFE
tmp,b3,-0.0010032158438501569,0.0022825544174412175,0.6602887523391192,Direct,4,IFE
tmp,b4,0.0012950821473221466,0.0023603845024937416,0.5832290348765757,Direct,4,IFE
tmp2,sum,-3.305988182588946e-4,1.7644574663768192e-4,0.06097770845323187,Direct,4,IFE
tmp2,b0,-4.057202681173875e-4,8.401975794163083e-5,1.3731181775450771e-6,Direct,4,IFE
tmp2,b1,1.1169165330734317e-4,8.425393080864501e-5,0.18495396528306798,Direct,4,IFE
tmp2,b2,1.8646227112244576e-5,8.568419019203774e-5,0.8277285318525437,Direct,4,IFE
tmp2,b3,-2.1594187575401064e-5,8.416879112445022e-5,0.7975199014101062,Direct,4,IFE
tmp2,b4,-3.362224298569379e-5,8.528629042822087e-5,0.6934127213325061,Direct,4,IFE
pre,sum,0.008313628525014872,0.016934597005025732,0.6234790144444817,Direct,4,IFE
pre,b0,0.013104100757529944,0.006895708352671042,0.0573902203925146,Direct,4,IFE
