term,estimate,std.error,statistic,p.value,nobs,spec,L,estimator
tmp2,4.935842741194935e-5,1.822591452689425e-4,0.27081454452733117,0.7865440118144547,5846,Direct,5,AFE
pre,0.01191855742833481,0.021415677208709075,0.5565342301427625,0.5778687369353198,5846,Direct,5,AFE
pre2,-0.0028792212284382617,0.00385951729878328,-0.7460055249256019,0.4556965143699758,5846,Direct,5,AFE
tmp,0.0031234759456526522,0.005198557510372982,0.6008351238627639,0.54794980734733445,5846,Direct,5,IFE
tmp2,-1.882078858942476e-4,1.7584753628345056e-4,-1.0702901494785417,0.2844887269392371,5846,Direct,5,IFE
pre,0.008490361222677791,0.017840239821320367,0.4759107112748115,0.6341379908564346,5846,Direct,5,IFE
pre2,-0.002094076199680547,0.003798807210991801,-0.5512457156607906,0.5814652453693541,5846,Direct,5,IFE
tmp,0.015475842104069002,0.004141247424675376,3.7370001154379517,1.879516406142001e-4,6456,Interactive,0,AFE
tmp2,-5.656820679805124e-4,1.490575206331658e-4,-3.795058884500499,1.4905578791100883e-4,6456,Interactive,0,AFE
pre,0.11039273570758609,0.0467866898325755,2.35949019053544,0.018331774912973785,6456,Interactive,0,AFE
pre2,-0.0731393440751056,0.029189867216127433,-2.505641547923727,0.01224910406875168,6456,Interactive,0,AFE
tmp_pre,-0.011307580366994332,0.004824580677077186,-2.3437436585358666,0.019123605496626058,6456,Interactive,0,AFE
tmp2_pre,3.310600847068774e-4,1.4434330741422682e-4,2.293560336377933,0.021850019735510783,6456,Interactive,0,AFE
pre2_tmp,0.006653463729768334,0.00260100603105049,2.5580347182359833,0.010550799164039837,6456,Interactive,0,AFE
tmp2_pre2,-1.6073706643416266e-4,6.0997361117728553e-5,-2.6351478734289917,0.008431590877426781,6456,Interactive,0,AFE
tmp,0.012276113947756323,0.003817274640477726,3.215936788404616,0.001300194674275538,6456,Interactive,0,IFE
tmp2,-4.7273133679506135e-4,1.2338738238641315e-4,-3.8312777826391136,1.2747947999267997e-4,6456,Interactive,0,IFE
pre,0.09138927071609892,0.051650579520551985,1.7693755145522567,0.07683122899998446,6456,Interactive,0,IFE
pre2,-0.057139456960584235,0.02580064400892777,-2.214652352895235,0.026783935634860267,6456,Interactive,0,IFE
tmp_pre,-0.010366475296529419,0.004957986787644354,-2.0908638406143782,0.036540271310895815,6456,Interactive,0,IFE
tmp2_pre,3.142440123660261e-4,1.338732522432213e-4,2.347324854670048,0.018908760713162394,6456,Interactive,0,IFE
pre2_tmp,0.005299407616532271,0.002250922504501631,2.354326995235936,0.01855627933038804,6456,Interactive,0,IFE
tmp2_pre2,-1.300221533998656e-4,5.234293056446617e-5,-2.4840442061173627,0.012989968135343286,6456,Interactive,0,IFE
tmp,0.008433390847182486,0.006563455908179838,1.2849009675942524,0.19887735040321897,6334,Interactive,1,AFE
tmp2,-3.078564905313185e-4,2.2376487264681177e-4,-1.3758034801880459,0.16893472491904804,6334,Interactive,1,AFE
pre,0.07272089490982156,0.057515323059270304,1.2643742752671616,0.20614568332669642,6334,Interactive,1,AFE
pre2,-0.05402538033487693,0.03336844852290159,-1.6190558064993035,0.10548872270600831,6334,Interactive,1,AFE
tmp_pre,-0.004659782339086321,0.0062133009841171035,-0.7499688733892015,0.4533033658305585,6334,Interactive,1,AFE
tmp2_pre,1.0528594345324347e-4,1.887974354812367e-4,0.5576661737214493,0.5770935246289403,6334,Interactive,1,AFE
pre2_tmp,0.003659116592152986,0.0030894112625545734,1.1844057916482555,0.236300195110473,6334,Interactive,1,AFE
tmp2_pre2,-6.879954098103322e-5,7.573594606273405e-5,-0.908413303823323,0.3636970155674961,6334,Interactive,1,AFE
tmp,0.008149699582941098,0.005525702120928565,1.474871320347537,0.14024714215496284,6334,Interactive,1,IFE
tmp2,-3.4073789065867553e-4,1.7268629800681353e-4,-1.9731611285409068,0.048477207602052375,6334,Interactive,1,IFE
pre,0.0587334945378849,0.07737892113469526,0.7590373925690456,0.4478301889087369,6334,Interactive,1,IFE
pre2,-0.026848343969879274,0.037676965600938125,-0.712593053651082,0.4760976113884228,6334,Interactive,1,IFE
tmp_pre,-0.005217628306576153,0.007411488166268039,-0.7039919904781313,0.4814377616064205,6334,Interactive,1,IFE
tmp2_pre,1.3382189656545123e-4,1.9638941805436347e-4,0.6814109328864519,0.49561150694712547,6334,Interactive,1,IFE
pre2_tmp,0.0014965547711577613,0.003277949678228549,0.4565520883671774,0.6479930232480602,6334,Interactive,1,IFE
tmp2_pre2,-2.207098641124312e-5,7.558725410969716e-5,-0.2919934937603668,0.770291598541922,6334,Interactive,1,IFE
tmp,0.011019404743966902,0.008785837265880126,1.2542236340708077,0.20981154750185682,6212,Interactive,2,AFE
tmp2,-3.417177311407634e-4,2.686804435498548e-4,-1.2718370069139633,0.20348230432555828,6212,Interactive,2,AFE
pre,0.1235689242183765,0.08017718133013656,1.5411981584831556,0.12332341196273638,6212,Interactive,2,AFE
pre2,-0.06311848317340046,0.04260900429271503,-1.4813414258589466,0.13857022859252302,6212,Interactive,2,AFE
tmp_pre,-0.01143159515027675,0.008220920172003104,-1.3905493437593295,0.16441576419780476,6212,Interactive,2,AFE
tmp2_pre,2.7495387343056803e-4,2.389294496737088e-4,1.1507743135308584,0.24987278992447362,6212,Interactive,2,AFE
pre2_tmp,0.0049259481468725864,0.0036503807604764643,1.3494340645795069,0.17725053858920584,6212,Interactive,2,AFE
