ssp,spec,estimator,L,n_country,delta_bhm,delta_unweighted,delta_cold,delta_hot,n_gainers,ratio_bhm_vs_L0,ratio_unw_vs_L0
SSP245,Interactive,AFE,2,148,-0.1161314540959455,-0.11104758550590937,0.05260865549180953,-0.2747038265036283,42,0.5783878010162754,0.5143002482092386
SSP245,Interactive,IFE,2,148,-0.24310793651872808,-0.2145370045625447,-0.029027070300726723,-0.4000469388243627,22,1.131079062052486,0.9360813335963593
SSP245,Interactive,AFE,3,148,-0.24929606278447303,-0.25633347476538,-0.14732729786920146,-0.3653396516615585,8,1.2416085088954447,1.1871700685392759
SSP245,Interactive,IFE,3,148,0.06569750311851452,0.06421855694695262,0.4525360127053367,-0.3240988988114315,57,-0.3056628725107673,-0.2802024413043018
SSP245,Interactive,AFE,4,148,-0.22616411605366304,-0.21347191583272304,-0.1565873733193452,-0.2703564583461009,7,1.126400825438686,0.988663182529338
SSP245,Interactive,IFE,4,148,0.061069674537616914,0.08227237711860404,0.5581137741735422,-0.39356901993633414,56,-0.28413153097754623,-0.35897600345619357
SSP245,Interactive,AFE,5,148,-0.21602060292030856,-0.16547293160380344,-0.24254375561444125,-0.08840210759316562,31,1.0758814868025444,0.766363081268595
SSP245,Interactive,IFE,5,148,-0.24391415215484502,-0.19088240517664318,0.028534770269675803,-0.4102995806229621,24,1.1348300445936954,0.8328700997861705
SSP126,Direct,AFE,0,148,-0.09560215499231095,-0.11377672400536508,0.03336654123786538,-0.26091998924859555,41,1,1
SSP126,Direct,IFE,0,148,-0.09031859954445232,-0.10344269936885477,0.004203046467763852,-0.2110884452054734,35,1,1
SSP126,Direct,AFE,1,148,-0.06154939918120683,-0.07490923425237529,0.022554275101158296,-0.1723727436059089,41,0.643807654609429,0.6583880394450713
SSP126,Direct,IFE,1,148,-0.09897938035225329,-0.1050960569462566,-0.03195527337425631,-0.17823684051825686,21,1.0958914426428676,1.0159833181799163
SSP126,Direct,AFE,2,148,-0.03872197729670257,-0.048958567353322234,0.02743332904749033,-0.1253504637541348,46,0.40503247337695353,0.4303038937121587
SSP126,Direct,IFE,2,148,-0.11190107608021105,-0.11681566027502273,-0.03157519510636952,-0.20205612544367593,22,1.2389593798466332,1.1292789243490526
SSP126,Direct,AFE,3,148,-0.08516058216797973,-0.09101326931876763,-0.030674956491889192,-0.15135158214564606,18,0.8907809889309397,0.7999287210490957
SSP126,Direct,IFE,3,148,0.03225383668532911,0.011289135026633234,0.1322382139246983,-0.10965994387143185,62,-0.3571117892439714,-0.10913418825603699
SSP126,Direct,AFE,4,148,-0.0728643305080453,-0.0772063305499646,-0.03368432705788723,-0.12072833404204199,15,0.7621620089411751,0.6785775493617129
SSP126,Direct,IFE,4,148,0.03071519636241349,0.006626013951633556,0.14758294872034486,-0.13433092081707776,61,-0.3400760919382537,-0.06405492115017797
SSP126,Direct,AFE,5,148,-0.08245661392488668,-0.0783640696344541,-0.08729336977449564,-0.06943476949441255,0,0.8624974398486986,0.6887530847764511
SSP126,Direct,IFE,5,148,-0.09599079172656333,-0.10301633819119271,-0.0314518774256592,-0.1745807989567262,22,1.0628020386799655,0.9958782864304252
SSP126,Interactive,AFE,0,148,-0.08980601438675084,-0.1095606746212941,0.03517547506417703,-0.25429682430676526,41,1,1
SSP126,Interactive,IFE,0,148,-0.0903997100119498,-0.10282441089848252,-0.0011252664476456595,-0.20452355534931937,32,1,1
SSP126,Interactive,AFE,1,148,-0.06402539433328669,-0.07396664035052777,0.019893210512100377,-0.1678264912131559,41,0.7129299164481394,0.6751203441033914
SSP126,Interactive,IFE,1,148,-0.10830508303511999,-0.10491465541071571,-0.037762582354554826,-0.1720667284668766,19,1.1980689210264426,1.0203282906653057
SSP126,Interactive,AFE,2,148,-0.04786809079257892,-0.04653272607528707,0.01904579016297685,-0.11211124231355099,41,0.5330165370265105,0.4247210619698304
SSP126,Interactive,IFE,2,148,-0.10545940212379323,-0.09363971056824898,-0.012507080350104395,-0.17477234078639356,26,1.1665900489045011,0.9106758769636765
SSP126,Interactive,AFE,3,148,-0.10182841496412343,-0.10597547256278364,-0.05560137718622533,-0.15634956793934196,11,1.1338707731265965,0.9672765609475935
SSP126,Interactive,IFE,3,148,0.018757576344728077,0.0019291596787748323,0.1382566815791254,-0.13439836222157575,58,-0.20749597916020462,-0.018761689582442363
SSP126,Interactive,AFE,4,148,-0.0915953736585432,-0.08465404232068532,-0.05528568174030177,-0.1140224029010689,11,1.019924715332388,0.7726681367497901
SSP126,Interactive,IFE,4,148,0.01295226728490384,0.0011751772082240672,0.16815972087940212,-0.165809366462954,57,-0.14327775258561892,-0.011428970980288986
SSP126,Interactive,AFE,5,148,-0.09620333539050463,-0.06559268582928901,-0.08963303855008044,-0.04155233310849757,33,1.0712348838486878,0.5986882250955078
SSP126,Interactive,IFE,5,148,-0.10294732795729222,-0.08120364599124912,0.016468595839264077,-0.1788758878217623,30,1.1388015287182203,0.7897312056708075
