ssp,spec,estimator,L,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,1,2029,-0.0019351191403689239,-0.016258384334200928,-0.014185546609628813,-0.011464770346146534,-0.006580624132897894,-0.0016586560720438515,0.0026993033941413724,0.007468733803076311,0.009563480147332068,0.011835013255515276
SSP585,Interactive,AFE,1,2030,-0.0024679677537414735,-0.02020272099820884,-0.017480920672499407,-0.014273925973100466,-0.008217213446366889,-0.002169964753967246,0.0032808080987588584,0.009200884498843777,0.011802182388132396,0.014517435352190529
SSP585,Interactive,AFE,1,2031,-0.0031764443528590203,-0.02443689143592274,-0.02138177636817651,-0.017462843169691076,-0.01016344251581619,-0.002819067563893163,0.003888377269154808,0.010967213522423691,0.014181433228423228,0.017431123195082124
SSP585,Interactive,AFE,1,2032,-0.003898864205918895,-0.028894945190526964,-0.025681227884987168,-0.0208914737942848,-0.01222989345333822,-0.00346837626777613,0.0045695277631909725,0.012879785732594165,0.016749100193408032,0.02077183583893536
SSP585,Interactive,AFE,1,2033,-0.004718436931262948,-0.03390294848833139,-0.03039313722758243,-0.024665559836935892,-0.014557963702306692,-0.004225851957915472,0.0052301768868566745,0.014838417810482374,0.019570132554072604,0.024408468297617468
SSP585,Interactive,AFE,1,2034,-0.005640730732179633,-0.039444026571559494,-0.03550119693191008,-0.028778920739820912,-0.017059388750154558,-0.004973639672810504,0.005954459182712202,0.017141675362966124,0.022457993452333673,0.02838829293471696
SSP585,Interactive,AFE,1,2035,-0.006671235939673226,-0.045401811343109194,-0.04077111433497371,-0.03323623500751881,-0.019792372760850774,-0.005946898483027152,0.006707730207680729,0.01961836626590752,0.025761914548569693,0.032616103966038396
SSP585,Interactive,AFE,1,2036,-0.007947857531343527,-0.051935556539475784,-0.04650922382922739,-0.038164687286744214,-0.022845826168808786,-0.007147138851415158,0.007285200364740563,0.02207638025868597,0.028918006743602422,0.03693427849414426
SSP585,Interactive,AFE,1,2037,-0.009216599025537064,-0.058759532486983596,-0.05244676329234595,-0.0433369737165229,-0.025918395146745432,-0.008310712497692052,0.008203404029648309,0.024847924483380225,0.03268299935410376,0.04142834359835866
SSP585,Interactive,AFE,1,2038,-0.010607483530951645,-0.06599439303259176,-0.05880481803367995,-0.048971854135612586,-0.029271967354494693,-0.009552945067054897,0.009111234333422757,0.02777835116674865,0.03647327669265206,0.0461489064733442
SSP585,Interactive,AFE,1,2039,-0.012125403862674355,-0.07373046822634555,-0.06560121493952781,-0.054902395742333424,-0.032865910190256836,-0.011058436966526253,0.009899093383619828,0.030668498490140597,0.04044405867397491,0.05109655013545691
SSP585,Interactive,AFE,1,2040,-0.013775148085708122,-0.0819273534942486,-0.07275000449234954,-0.06116173149765682,-0.036735497328360484,-0.012548735228442132,0.010638880729018807,0.033622426598796225,0.04458288630288564,0.056267844548877226
SSP585,Interactive,AFE,1,2041,-0.015671133930634462,-0.09045144218778911,-0.08040323699731378,-0.06780752626452431,-0.0409183953250811,-0.01425975420004949,0.011435287409800043,0.03669778688283564,0.048763215793000046,0.06149437164590935
SSP585,Interactive,AFE,1,2042,-0.01758220123879639,-0.09913364599937584,-0.08824717856405635,-0.07474137647340667,-0.045278458197508586,-0.01589949559285153,0.012291502506735275,0.04007588447860212,0.05325736125812188,0.06714288454314175
SSP585,Interactive,AFE,1,2043,-0.019633619483947595,-0.10842443403661113,-0.09644283058234328,-0.08200357118673451,-0.049946464515431804,-0.017765028548023087,0.013241049428717566,0.0435760717503574,0.057909154730162844,0.07325130544172137
SSP585,Interactive,AFE,1,2044,-0.02182931010779643,-0.11807637507359853,-0.10510794375342694,-0.08933213293477843,-0.05473856743392136,-0.0198443151007498,0.014190722150904056,0.04718759813036539,0.0627246267222716,0.07974454850771989
SSP585,Interactive,AFE,1,2045,-0.02417306020532739,-0.12791483480152774,-0.11411290850117424,-0.09676128900283557,-0.059551368265200855,-0.022020459614028154,0.015142208443826521,0.05089270155026417,0.06769676833654384,0.08650450168723336
SSP585,Interactive,AFE,1,2046,-0.02664242312770959,-0.13779123864953163,-0.12340672179526994,-0.10480601553509754,-0.06463590692296384,-0.02431613729577381,0.015975079996490726,0.05468577579959065,0.07271657623779759,0.09352954493721943
SSP585,Interactive,AFE,1,2047,-0.029249147400063236,-0.14832819208341558,-0.13279895221970414,-0.11321800624614978,-0.07008609281930223,-0.026642410904338554,0.016907444175841724,0.058711195408732694,0.07824856447985139,0.10095516332396799
SSP585,Interactive,AFE,1,2048,-0.03200734476825673,-0.15919661970552668,-0.14268914872741562,-0.12195620238580888,-0.07579019086004146,-0.029202030178306526,0.01783488613016082,0.06285478307138515,0.08381180802940698,0.10863323054879323
SSP585,Interactive,AFE,1,2049,-0.034919838511506374,-0.17036989264044783,-0.15288178674155353,-0.13098214888958337,-0.0816166120671093,-0.031880841257080794,0.018795764461479125,0.067148643043633,0.08980133946779364,0.11654384153455238
SSP585,Interactive,AFE,1,2050,-0.03798929515858729,-0.18183547608469905,-0.16336121109409277,-0.1402873201265919,-0.08768597587416982,-0.03479914111064508,0.01964041215387885,0.07200732998936885,0.09610223252256206,0.12473132692202221
SSP585,Interactive,AFE,1,2051,-0.04088877498899912,-0.19316988723783626,-0.17356342695814425,-0.14930216114664766,-0.09349994918196619,-0.037345357126097656,0.020610600371728793,0.07687671373986257,0.10272847701903998,0.1335426422148773
SSP585,Interactive,AFE,1,2052,-0.04418481391636231,-0.20510514843262925,-0.1843774127522378,-0.15899208895449862,-0.09989177377945752,-0.04036199368479748,0.02150530912401072,0.08187325790294105,0.10948067486348455,0.14240802446775774
SSP585,Interactive,AFE,1,2053,-0.04763394380804509,-0.21728464902886185,-0.19489704272731403,-0.1689202927463555,-0.1067519745284152,-0.0433897814996938,0.022344061097971324,0.0869770405647958,0.1164075045879439,0.15156882500966193
SSP585,Interactive,AFE,1,2054,-0.05123769185413374,-0.22968777159812861,-0.20592839493779755,-0.17909270291213938,-0.11377478334983818,-0.046495856053893836,0.02299202802651701,0.09188696091654659,0.12307609421506896,0.16102765296956265
SSP585,Interactive,AFE,1,2055,-0.05499741528127444,-0.2423053484722208,-0.2174638592079294,-0.18930374891621513,-0.12093100861381331,-0.04971706247128177,0.02346125062207627,0.0968385577982536,0.1299201898718413,0.17078730829793237
SSP585,Interactive,AFE,1,2056,-0.05816574347951953,-0.2543029562249255,-0.2284893338177037,-0.19888254805381697,-0.12702400790916032,-0.052540059252392746,0.024918404572915887,0.10299840085992895,0.1375379300406118,0.18155006714792996
SSP585,Interactive,AFE,1,2057,-0.06209902559527136,-0.26686843189032416,-0.2403131426511991,-0.2094226051312018,-0.13434854733976337,-0.05609067729303763,0.025491041471931153,0.10838508669435853,0.14490542591326386,0.19209661093849226
SSP585,Interactive,AFE,1,2058,-0.06617808860124141,-0.279582269118114,-0.2523035091672175,-0.2201657929916045,-0.14184043655905798,-0.059618937269567684,0.026030892427151786,0.11387845389898081,0.1527304401401152,0.20297356744883815
SSP585,Interactive,AFE,1,2059,-0.07040309176205806,-0.29279651781883365,-0.2644473162993967,-0.23103982318925118,-0.14949321155987647,-0.06311164861198432,0.02654336608636959,0.11949621784521285,0.1612460456770614,0.2141859347012108
SSP585,Interactive,AFE,1,2060,-0.07477402348718398,-0.3058768620994676,-0.2767313598105111,-0.24204025647886204,-0.15733410082400584,-0.06687813413780114,0.027250604123237043,0.12523969475400049,0.1700259871354803,0.22573898901846137
SSP585,Interactive,AFE,1,2061,-0.07799958721909295,-0.3176161257934635,-0.28761794180559336,-0.2518503469444584,-0.16407844107966849,-0.06959855929037595,0.029235130625987094,0.13309666416859176,0.17948855096757224,0.23885021855793898
SSP585,Interactive,AFE,1,2062,-0.08246655011343773,-0.33069747486024736,-0.29982665638919476,-0.2630319520228049,-0.1717816704202634,-0.07332590182091658,0.029923846527062092,0.1394508061026618,0.18982230069747172,0.2513472791360933
SSP585,Interactive,AFE,1,2063,-0.08706321312280596,-0.34385216601721774,-0.31211174129451646,-0.2742012610191719,-0.17951476375141187,-0.07708834995812724,0.030603878387056083,0.1459690290817706,0.20070185150224887,0.26422801988984634
SSP585,Interactive,AFE,1,2064,-0.09178844301217048,-0.35706624562205713,-0.32445939621809433,-0.2854107958786576,-0.1876993955429433,-0.08091951916398848,0.03127688931041095,0.15308979548810553,0.2104236624741088,0.277500602443853
SSP585,Interactive,AFE,1,2065,-0.09664095330502209,-0.3703258961280543,-0.3368931275797443,-0.2966877269939269,-0.1956096130886241,-0.08498872497773952,0.03219203046519886,0.15995072535425212,0.22053700612870142,0.29173718397451465
SSP585,Interactive,AFE,1,2066,-0.09985434636960833,-0.38247995303626353,-0.34772991228851174,-0.3063093855499483,-0.2023381178318266,-0.08804760390629279,0.03501356047551751,0.1696210527221754,0.23192297136146173,0.3069888336240283
