ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,1,ESP,-0.34764657636853247
SSP585,Direct,AFE,1,EST,1.0129788936301067
SSP585,Direct,AFE,1,ETH,-0.6104802979233268
SSP585,Direct,AFE,1,FIN,1.7459582985560589
SSP585,Direct,AFE,1,FJI,-0.6131823432416292
SSP585,Direct,AFE,1,FRA,-0.07959019372336251
SSP585,Direct,AFE,1,GAB,-0.6969158614062938
SSP585,Direct,AFE,1,GBR,0.1752928908621474
SSP585,Direct,AFE,1,GEO,0.3166048085477322
SSP585,Direct,AFE,1,GHA,-0.7802796453860465
SSP585,Direct,AFE,1,GIN,-0.7867516390488515
SSP585,Direct,AFE,1,GNB,-0.8387889394811496
SSP585,Direct,AFE,1,GNQ,-0.771419490953937
SSP585,Direct,AFE,1,GRC,-0.498278241044809
SSP585,Direct,AFE,1,GTM,-0.7317360453537507
SSP585,Direct,AFE,1,GUY,-0.778892469131173
SSP585,Direct,AFE,1,HND,-0.7738897023225106
SSP585,Direct,AFE,1,HRV,-0.14648051032197384
SSP585,Direct,AFE,1,HTI,-0.7749142718337213
SSP585,Direct,AFE,1,HUN,-0.05735345708765571
SSP585,Direct,AFE,1,IDN,-0.7076696303883686
SSP585,Direct,AFE,1,IND,-0.766577993073807
SSP585,Direct,AFE,1,IRL,0.19977078837723172
SSP585,Direct,AFE,1,IRN,-0.5038530846051681
SSP585,Direct,AFE,1,IRQ,-0.8219586019938762
SSP585,Direct,AFE,1,ISL,1.712141264818463
SSP585,Direct,AFE,1,ISR,-0.659044565593129
SSP585,Direct,AFE,1,ITA,-0.2528245823638584
SSP585,Direct,AFE,1,JAM,-0.8525717556901811
SSP585,Direct,AFE,1,JPN,-0.24592534324911564
SSP585,Direct,AFE,1,KAZ,0.5462855916910119
SSP585,Direct,AFE,1,KEN,-0.595619019668277
SSP585,Direct,AFE,1,KGZ,1.796753090778434
SSP585,Direct,AFE,1,KHM,-0.763744568377516
SSP585,Direct,AFE,1,KOR,-0.04311465650619006
SSP585,Direct,AFE,1,LAO,-0.6813572875554316
SSP585,Direct,AFE,1,LBN,-0.6647482914338527
SSP585,Direct,AFE,1,LBR,-0.7137564338388349
SSP585,Direct,AFE,1,LBY,-0.6895117984274639
SSP585,Direct,AFE,1,LKA,-0.7209694640428068
SSP585,Direct,AFE,1,LTU,0.67231141555317
SSP585,Direct,AFE,1,LVA,0.7884469295159524
SSP585,Direct,AFE,1,MAR,-0.651290133427318
SSP585,Direct,AFE,1,MDA,-0.0854680983208127
SSP585,Direct,AFE,1,MDG,-0.6025111995957235
SSP585,Direct,AFE,1,MEX,-0.6015151814044228
SSP585,Direct,AFE,1,MLI,-0.887858529310404
SSP585,Direct,AFE,1,MMR,-0.7292678886739384
SSP585,Direct,AFE,1,MNG,4.152587810378511
SSP585,Direct,AFE,1,MOZ,-0.7492630129136295
