ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,IFE,Joint analytic covariance,1,IE,2084,-0.013957165756617207,-0.05237907946200306,-0.044759255298659144,-0.0350363629622812,-0.022755426415681013,-0.009934939834637335,0.002928130259553241,0.01970673578779379,0.0309384024220429,0.042857041226208883
SSP585,IFE,Joint analytic covariance,1,IE,2085,-0.014005371326897387,-0.05335728967694767,-0.045333793065378276,-0.03533833126544496,-0.022914746580585926,-0.009767645076879883,0.003454752249434312,0.02065496236951286,0.0328867061522161,0.04508322059914666
SSP585,IFE,Joint analytic covariance,1,IE,2086,-0.014765860687840804,-0.054112546491411076,-0.04635392340838144,-0.03639697866011129,-0.023432375474631617,-0.010060335426968603,0.0031927540205251848,0.020720242985884166,0.03382960935237124,0.04640816909602768
SSP585,IFE,Joint analytic covariance,1,IE,2087,-0.014823190132725816,-0.05522176604522195,-0.04676546476972,-0.03701483455625488,-0.02356906902534009,-0.009748407127997405,0.0036256765881593767,0.022547032841719897,0.03516053497762764,0.04911200276059023
SSP585,IFE,Joint analytic covariance,1,IE,2088,-0.014869409011374346,-0.056718206900581936,-0.04746101884121137,-0.03692084050353406,-0.023755722512473293,-0.009613539871991872,0.004352908946438555,0.024121995638654838,0.03748899755839233,0.05196608871860704
SSP585,IFE,Joint analytic covariance,1,IE,2089,-0.014904646666160759,-0.058180060886881636,-0.04832644157485142,-0.03711694607885425,-0.024151837218116284,-0.00923185664293047,0.00503551843068592,0.026409406371498294,0.03988234931682656,0.05522021411828195
SSP585,IFE,Joint analytic covariance,1,IE,2090,-0.014929047098059312,-0.058992325687171554,-0.04874699238661878,-0.037817456685951,-0.023816262661009197,-0.009089252318118968,0.005656514708920896,0.02732016770209557,0.04260394753362468,0.05832288909923158
SSP585,IFE,Joint analytic covariance,1,IE,2091,-0.015799766053160913,-0.06113356008040723,-0.050387779535359487,-0.03871320066492931,-0.024648726807318333,-0.009575731673922505,0.0051976751609621175,0.02702795249501553,0.04273758193884291,0.06023710166852558
SSP585,IFE,Joint analytic covariance,1,IE,2092,-0.015835045961035354,-0.06252978376739121,-0.051199735651350345,-0.03921635021448199,-0.024802249611472094,-0.00913923729953059,0.005492720142001528,0.02919418834572958,0.045594954081299294,0.0643692989190891
SSP585,IFE,Joint analytic covariance,1,IE,2093,-0.01586019478787548,-0.0639268493839982,-0.052023803455375245,-0.03971930033284889,-0.02468557118140388,-0.008914538048788168,0.006167213479069067,0.031030537989847364,0.04847652010397797,0.06866963786626305
SSP585,IFE,Joint analytic covariance,1,IE,2094,-0.015875365229063076,-0.065324021003576635,-0.05298270234429745,-0.03972875258233821,-0.024715521358273984,-0.008539181175189925,0.006970980684083777,0.03274679998630344,0.05234209313459294,0.07291311129199052
SSP585,IFE,Joint analytic covariance,1,IE,2095,-0.015880717143083145,-0.06645592222037629,-0.05335345236487876,-0.039688790197703265,-0.024483800256493077,-0.008379735369991315,0.007662834606706415,0.03496464622908223,0.05589658386717196,0.07742791504102169
SSP585,IFE,Joint analytic covariance,1,IE,2096,-0.016858483502479538,-0.06825687493084792,-0.0551746095192115,-0.040980279797183175,-0.025429025621361484,-0.009416798658193781,0.0072851338721860726,0.03498416107882664,0.057109605849918,0.08123202275549261
SSP585,IFE,Joint analytic covariance,1,IE,2097,-0.016882307983875466,-0.06984817456326953,-0.055584665338091546,-0.04121547284428943,-0.025167429986205248,-0.00900823994474198,0.007870484752531187,0.03680745057282282,0.06077492496529587,0.08776328375504396
SSP585,IFE,Joint analytic covariance,1,IE,2098,-0.01689699216319307,-0.0712399429180051,-0.05573144421420553,-0.04174543964443731,-0.024918120520545733,-0.008406468956035196,0.008863482906344977,0.0387745579547732,0.06581546946120576,0.09717559020092736
SSP585,IFE,Joint analytic covariance,1,IE,2099,-0.01690266678805885,-0.0725096980884087,-0.05609218340895531,-0.04178017634188203,-0.024938278526731472,-0.008301190219960841,0.009845278407468183,0.04200646749180031,0.06889139732701152,0.10627162387164973
SSP585,IFE,Joint analytic covariance,1,IE,2100,-0.016899463559295613,-0.07376808076061832,-0.05646772792479096,-0.04208921646746123,-0.02482366684330714,-0.008092568930445687,0.010833471460682781,0.04415990911784087,0.07295699737683002,0.11031401847016879
SSP585,IFE,Joint analytic covariance,2,M8,2021,-9.567761467776936e-5,-2.9341975167332114e-4,-2.651069609588386e-4,-2.2525240152467818e-4,-1.6516949292808003e-4,-9.554167864633811e-5,-2.7950393678977115e-5,2.8968288927311293e-5,5.902054252103765e-5,8.8724333362733e-5
SSP585,IFE,Joint analytic covariance,2,M8,2022,-2.054133062182606e-4,-7.593836323622066e-4,-6.849556945739965e-4,-5.72719159009405e-4,-3.999797770356528e-4,-2.066827209879496e-4,-1.773685531925029e-5,1.529145279387967e-4,2.452811097703011e-4,3.403688767216528e-4
SSP585,IFE,Joint analytic covariance,2,M8,2023,-4.644420481114686e-4,-0.0015634810787407887,-0.0014520252364757457,-0.0012275326797544393,-8.701441246030117e-4,-4.6667330671490426e-4,-5.5914666280521e-5,2.809765488177796e-4,4.955765499344842e-4,7.159458061548546e-4
SSP585,IFE,Joint analytic covariance,2,M8,2024,-8.776553554711297e-4,-0.002813561123609745,-0.0026011026854513342,-0.0022595802673365025,-0.0016064055622383444,-8.827873166212252e-4,-1.7619870956117611e-4,4.3675100203186576e-4,7.984575082637834e-4,0.0012174169000533027
SSP585,IFE,Joint analytic covariance,2,M8,2025,-0.0014498890808323228,-0.004498218938570289,-0.004050551618359844,-0.003573033083383603,-0.0025620783043846795,-0.0014608692845171634,-3.2069613370586114e-4,6.27892329227709e-4,0.001193005739224417,0.0018440681732568298
SSP585,IFE,Joint analytic covariance,2,M8,2026,-0.0022320903161142658,-0.006727298018913203,-0.006092192164686016,-0.005349332143149632,-0.003851706829316348,-0.0022338666280227737,-5.884735355474457e-4,7.642019824205096e-4,0.0016364812415298289,0.002480743220815806
SSP585,IFE,Joint analytic covariance,2,M8,2027,-0.0031512187458914154,-0.009346759160257739,-0.008399416832651456,-0.007399328453230813,-0.005411795097597649,-0.003144443322134094,-8.616951899551306e-4,0.0010148305639549272,0.002287251122127354,0.0032949325192507535
SSP585,IFE,Joint analytic covariance,2,M8,2028,-0.004245255273875981,-0.012315322277345974,-0.011061720235273693,-0.00984368700936058,-0.00729399358174701,-0.0041805998408786516,-0.0012366706694179053,0.0012542594251561349,0.0029272640201675176,0.0043113043909443986
