ssp,spec,estimator,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,1,IE,2063,0.06788521862022168,-0.07600499498200712,-0.05635365246177033,-0.02909217591849055,0.015823120404199864,0.06216213562617001,0.10170253733165094,0.1391186685253885,0.16357726216723367,0.18401233054271743
SSP585,Interactive,AFE,1,IE,2064,0.07043333630958282,-0.0800116233118176,-0.06037452916975998,-0.03198201886916908,0.01606145004935086,0.06465076489960969,0.10538495301267839,0.14373444264802748,0.1707309058354624,0.1914351980218883
SSP585,Interactive,AFE,1,IE,2065,0.0729735139767912,-0.08510196765351011,-0.06412156363684798,-0.033900255254912165,0.015967889428114307,0.0665825859632258,0.10854664393001526,0.14934596118815338,0.17777708180507823,0.19681350295506528
SSP585,Interactive,AFE,1,IE,2066,0.07436499320496626,-0.08997397678510448,-0.06854993202521234,-0.039068456441812505,0.014700624100601273,0.06736479788883992,0.11050102543791801,0.15359562596535692,0.18322739086033668,0.201649899553025
SSP585,Interactive,AFE,1,IE,2067,0.07682186900201482,-0.09539740677598706,-0.07399474490157919,-0.041225382667519905,0.014173963920908528,0.06911701965459865,0.11343222409143766,0.15930790027564606,0.19042070063948413,0.20949453163468074
SSP585,Interactive,AFE,1,IE,2068,0.0792585905808858,-0.10292731811884209,-0.07912122727671976,-0.04375718118871358,0.013680386760110685,0.07082524897178077,0.11677783010974724,0.16482260611331906,0.19698897158722287,0.21741224692625494
SSP585,Interactive,AFE,1,IE,2069,0.08167125308888146,-0.11101703143197818,-0.0848038912300899,-0.04667115997832929,0.01299880865727776,0.07268396284127193,0.12050108163515805,0.16975329260828229,0.20458171312723336,0.22544046226925893
SSP585,Interactive,AFE,1,IE,2070,0.08405601265706164,-0.12038046042267063,-0.08923043303943265,-0.049313613153645575,0.0120817804099341,0.07378705147734427,0.12404125600847701,0.1760944108350631,0.21294502576954827,0.2335537287862112
SSP585,Interactive,AFE,1,IE,2071,0.08517757128523529,-0.1275546000984906,-0.09760923616679183,-0.05660721877068601,0.01101112323008277,0.07386346809641015,0.1252452106340519,0.18076629770279012,0.21872094349156926,0.24054526382669678
SSP585,Interactive,AFE,1,IE,2072,0.08745301873178624,-0.13840152928819036,-0.10472131732195601,-0.06304713049312945,0.009440255325770891,0.07468386393043502,0.1278567558717797,0.18669480694969864,0.22496807578911926,0.24871381216408162
