ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975,p_mitigate,panel
SSP585,AFE,Country resampling,0,IE,2088,0.05427042290437189,-0.02087079322548946,-0.00594815128194923,0.00728501203034268,0.02898915507130736,0.05272085521045616,0.0806145527062779,0.11603522564429058,0.1350539963210028,0.15836241774848653,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2089,0.05527735057371363,-0.02168699274077199,-0.00665435668334384,0.00730870393976502,0.02934978909692393,0.05346952813273065,0.08318636316796696,0.11890922441462903,0.13994447912252458,0.16469926808272667,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2090,0.05626820919266562,-0.02251791245337375,-0.00717381410234891,0.00715496580175337,0.02988738757423584,0.05453598579322133,0.0856587412536233,0.12312133798283624,0.14509293322360062,0.17127995810273683,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2091,0.05684347766575992,-0.02530887767582823,-0.01008248175643609,0.00565925140766487,0.02885099028977181,0.0548903367667572,0.08795292266171045,0.12678700101612314,0.15011263545235837,0.17701260134216462,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2092,0.05779785221882438,-0.02625814300555849,-0.01035292614394344,0.00535110313458914,0.02917142389905397,0.05606379751262697,0.08992685789593632,0.13088075604665234,0.15542153507194503,0.18323495307162663,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2093,0.05873549778136866,-0.02721844904215525,-0.01144589320812904,0.00481893671309066,0.02890587784733975,0.05683108644101392,0.09248711889179204,0.13362780979027786,0.16060898409059382,0.19021449888580505,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2094,0.05965604495731513,-0.02818683486282028,-0.01311149955075191,0.0044220076347381,0.02908848538889816,0.0575392395777104,0.0942951959871184,0.13675110084337547,0.16463886463925942,0.19702517177120463,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2095,0.06055916978325715,-0.02922743976170885,-0.01380401354864951,0.00432286895534202,0.02926969006343258,0.05841703506171214,0.09612749982677288,0.1404484950307826,0.170305219996246,0.20461393491976865,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2096,0.06110078345656344,-0.03246667141870242,-0.01698698053284544,0.00125067770090972,0.02816349047423311,0.05858707919940087,0.09799796258777987,0.14367938659347518,0.17586836171577414,0.21093215848412855,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2097,0.06197005352747775,-0.03355303043573758,-0.01796086120341184,2.835859559677917e-4,0.02811367944363446,0.05981712775661257,0.1003190342680835,0.14862137801662698,0.1820618808528726,0.2182322318216201,0.894,L = 0
