="",="(1)",="",="",=""
="",="logd_gdp",="",="",=""
="83.country_id#c.trend2",="1.9425",="(2.2773)",="0.85",="0.394"
="84.country_id#c.trend2",="0.0373",="(0.1216)",="0.31",="0.759"
="85.country_id#c.trend2",="0.0000",="(.)",=".",="."
="86.country_id#c.trend2",="0.0000",="(.)",=".",="."
="87.country_id#c.trend2",="0.0000",="(.)",=".",="."
="88.country_id#c.trend2",="-0.8040",="(1.1219)",="-0.72",="0.474"
="89.country_id#c.trend2",="0.2620",="(0.2952)",="0.89",="0.375"
="90.country_id#c.trend2",="0.0000",="(.)",=".",="."
="91.country_id#c.trend2",="-0.0742",="(0.4447)",="-0.17",="0.867"
="92.country_id#c.trend2",="0.0000",="(.)",=".",="."
="93.country_id#c.trend2",="0.0000",="(.)",=".",="."
="94.country_id#c.trend2",="-0.4654",="(0.5323)",="-0.87",="0.382"
="95.country_id#c.trend2",="2.3249",="(2.7086)",="0.86",="0.391"
="96.country_id#c.trend2",="-0.0276",="(0.4038)",="-0.07",="0.945"
="97.country_id#c.trend2",="-2.1367",="(2.4857)",="-0.86",="0.390"
="98.country_id#c.trend2",="-0.0358",="(0.2408)",="-0.15",="0.882"
="99.country_id#c.trend2",="-0.2593",="(0.3118)",="-0.83",="0.406"
="100.country_id#c.trend2",="-0.6653",="(0.5898)",="-1.13",="0.259"
="101.country_id#c.trend2",="-1.4142",="(1.5436)",="-0.92",="0.360"
="102.country_id#c.trend2",="1.7912",="(1.8002)",="0.99",="0.320"
="103.country_id#c.trend2",="-0.9354",="(1.0852)",="-0.86",="0.389"
="104.country_id#c.trend2",="0.6176",="(0.6773)",="0.91",="0.362"
="105.country_id#c.trend2",="0.0000",="(.)",=".",="."
="106.country_id#c.trend2",="0.8509",="(0.9409)",="0.90",="0.366"
="107.country_id#c.trend2",="-1.1440",="(1.3186)",="-0.87",="0.386"
="108.country_id#c.trend2",="-0.1471",="(0.4236)",="-0.35",="0.728"
="109.country_id#c.trend2",="0.0000",="(.)",=".",="."
="110.country_id#c.trend2",="0.0103",="(0.0193)",="0.53",="0.593"
="111.country_id#c.trend2",="0.5678",="(0.8990)",="0.63",="0.528"
